file,topic,topic_name,level,question,answer
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,1,C
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,2,A
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,3,B
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,4,B
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,5,B
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,6,D
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,7,B
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,8,D
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,9,C
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,10,A
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,11,D
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,12,C
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,13,B
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,14,B
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,15,A
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,16,A
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,17,A
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,18,B
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,19,C
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,20,B
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,21,D
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,22,D
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,23,A
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,24,C
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,25,C
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,26,C
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,27,A
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,28,C
