file,topic_id,topic,level
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий
t02_b.md,02,Картография,Базовый
t02_m.md,02,Картография,Средний
t02_h.md,02,Картография,Высокий
t03_b.md,03,Основы геоинформатики,Базовый
t03_m.md,03,Основы геоинформатики,Средний
t03_h.md,03,Основы геоинформатики,Высокий
t04_b.md,04,Литосфера,Базовый
t04_m.md,04,Литосфера,Средний
t04_h.md,04,Литосфера,Высокий
t05_b.md,05,Атмосфера,Базовый
t05_m.md,05,Атмосфера,Средний
t05_h.md,05,Атмосфера,Высокий
t06_b.md,06,Гидросфера,Базовый
t06_m.md,06,Гидросфера,Средний
t06_h.md,06,Гидросфера,Высокий
t07_b.md,07,Биосфера,Базовый
t07_m.md,07,Биосфера,Средний
t07_h.md,07,Биосфера,Высокий
t08_b.md,08,Природнотерриториальные комплексы,Базовый
t08_m.md,08,Природнотерриториальные комплексы,Средний
t08_h.md,08,Природнотерриториальные комплексы,Высокий
t09_b.md,09,Природопользование и геоэкология,Базовый
t09_m.md,09,Природопользование и геоэкология,Средний
t09_h.md,09,Природопользование и геоэкология,Высокий
t10_b.md,10,Основы геоэкологических исследований,Базовый
t10_m.md,10,Основы геоэкологических исследований,Средний
t10_h.md,10,Основы геоэкологических исследований,Высокий
t11_b.md,11,География населения,Базовый
t11_m.md,11,География населения,Средний
t11_h.md,11,География населения,Высокий
t12_b.md,12,Природные ресурсы,Базовый
t12_m.md,12,Природные ресурсы,Средний
t12_h.md,12,Природные ресурсы,Высокий
t13_b.md,13,Социально-экономические ресурсы,Базовый
t13_m.md,13,Социально-экономические ресурсы,Средний
t13_h.md,13,Социально-экономические ресурсы,Высокий
t14_b.md,14,Отраслевая и территориальная структура мирового хозяйства,Базовый
t14_m.md,14,Отраслевая и территориальная структура мирового хозяйства,Средний
t14_h.md,14,Отраслевая и территориальная структура мирового хозяйства,Высокий
t15_b.md,15,Тенденции и показатели развития мирового хозяйства,Базовый
t15_m.md,15,Тенденции и показатели развития мирового хозяйства,Средний
t15_h.md,15,Тенденции и показатели развития мирового хозяйства,Высокий
t16_b.md,16,Основы геоэкономики,Базовый
t16_m.md,16,Основы геоэкономики,Средний
t16_h.md,16,Основы геоэкономики,Высокий
t17_b.md,17,Страны мира,Базовый
t17_m.md,17,Страны мира,Средний
t17_h.md,17,Страны мира,Высокий
t18_b.md,18,Регионы мира,Базовый
t18_m.md,18,Регионы мира,Средний
t18_h.md,18,Регионы мира,Высокий
t19_b.md,19,Методы сравнения стран,Базовый
t19_m.md,19,Методы сравнения стран,Средний
t19_h.md,19,Методы сравнения стран,Высокий
t20_b.md,20,Основы геополитики,Базовый
t20_m.md,20,Основы геополитики,Средний
t20_h.md,20,Основы геополитики,Высокий
t21_b.md,21,Решение глобальных проблем,Базовый
t21_m.md,21,Решение глобальных проблем,Средний
t21_h.md,21,Решение глобальных проблем,Высокий
