topic_id,topic,level,question,type,answer
01,Устройства компьютера,Базовый,1,single,B
01,Устройства компьютера,Базовый,2,single,B
01,Устройства компьютера,Базовый,3,single,A
01,Устройства компьютера,Базовый,4,single,C
01,Устройства компьютера,Базовый,5,single,C
01,Устройства компьютера,Базовый,6,single,D
01,Устройства компьютера,Базовый,7,single,B
01,Устройства компьютера,Базовый,8,single,D
01,Устройства компьютера,Базовый,9,single,C
01,Устройства компьютера,Базовый,10,single,D
01,Устройства компьютера,Базовый,11,single,C
01,Устройства компьютера,Базовый,12,single,D
01,Устройства компьютера,Базовый,13,single,C
01,Устройства компьютера,Базовый,14,single,A
01,Устройства компьютера,Базовый,15,single,C
01,Устройства компьютера,Базовый,16,single,B
01,Устройства компьютера,Базовый,17,single,D
01,Устройства компьютера,Базовый,18,single,D
01,Устройства компьютера,Базовый,19,single,C
01,Устройства компьютера,Базовый,20,single,B
01,Устройства компьютера,Базовый,21,single,B
01,Устройства компьютера,Базовый,22,single,A
01,Устройства компьютера,Базовый,23,single,B
01,Устройства компьютера,Базовый,24,single,C
01,Устройства компьютера,Базовый,25,single,A
01,Устройства компьютера,Базовый,26,context_single,C
01,Устройства компьютера,Базовый,27,context_single,B
01,Устройства компьютера,Базовый,28,context_single,B
01,Устройства компьютера,Базовый,29,context_single,B
01,Устройства компьютера,Базовый,30,context_single,C
01,Устройства компьютера,Базовый,31,multi,ABD
01,Устройства компьютера,Базовый,32,multi,ACD
01,Устройства компьютера,Базовый,33,multi,CDE
01,Устройства компьютера,Базовый,34,multi,CDE
01,Устройства компьютера,Базовый,35,multi,BCE
01,Устройства компьютера,Базовый,36,matching,1-B;2-A;3-D;4-C
01,Устройства компьютера,Базовый,37,matching,1-A;2-B;3-D;4-C
01,Устройства компьютера,Базовый,38,matching,1-B;2-C;3-D;4-A
01,Устройства компьютера,Базовый,39,matching,1-C;2-B;3-D;4-A
01,Устройства компьютера,Базовый,40,matching,1-A;2-C;3-B;4-D
01,Устройства компьютера,Средний,1,single,D
01,Устройства компьютера,Средний,2,single,B
01,Устройства компьютера,Средний,3,single,C
01,Устройства компьютера,Средний,4,single,B
01,Устройства компьютера,Средний,5,single,B
01,Устройства компьютера,Средний,6,single,A
01,Устройства компьютера,Средний,7,single,B
01,Устройства компьютера,Средний,8,single,A
01,Устройства компьютера,Средний,9,single,B
01,Устройства компьютера,Средний,10,single,C
01,Устройства компьютера,Средний,11,single,A
01,Устройства компьютера,Средний,12,single,B
01,Устройства компьютера,Средний,13,single,A
01,Устройства компьютера,Средний,14,single,B
01,Устройства компьютера,Средний,15,single,A
01,Устройства компьютера,Средний,16,single,B
01,Устройства компьютера,Средний,17,single,B
01,Устройства компьютера,Средний,18,single,D
01,Устройства компьютера,Средний,19,single,D
01,Устройства компьютера,Средний,20,single,B
01,Устройства компьютера,Средний,21,single,B
01,Устройства компьютера,Средний,22,single,B
01,Устройства компьютера,Средний,23,single,D
01,Устройства компьютера,Средний,24,single,B
01,Устройства компьютера,Средний,25,single,B
01,Устройства компьютера,Средний,26,context_single,D
01,Устройства компьютера,Средний,27,context_single,A
01,Устройства компьютера,Средний,28,context_single,D
01,Устройства компьютера,Средний,29,context_single,C
01,Устройства компьютера,Средний,30,context_single,D
01,Устройства компьютера,Средний,31,multi,ACE
01,Устройства компьютера,Средний,32,multi,ABE
01,Устройства компьютера,Средний,33,multi,ACD
01,Устройства компьютера,Средний,34,multi,ADE
01,Устройства компьютера,Средний,35,multi,ADE
01,Устройства компьютера,Средний,36,matching,1-B;2-C;3-A;4-D
01,Устройства компьютера,Средний,37,matching,1-B;2-C;3-D;4-A
01,Устройства компьютера,Средний,38,matching,1-A;2-C;3-B;4-D
01,Устройства компьютера,Средний,39,matching,1-B;2-C;3-D;4-A
01,Устройства компьютера,Средний,40,matching,1-C;2-A;3-D;4-B
01,Устройства компьютера,Высокий,1,single,C
01,Устройства компьютера,Высокий,2,single,D
01,Устройства компьютера,Высокий,3,single,A
01,Устройства компьютера,Высокий,4,single,C
01,Устройства компьютера,Высокий,5,single,B
01,Устройства компьютера,Высокий,6,single,C
01,Устройства компьютера,Высокий,7,single,A
01,Устройства компьютера,Высокий,8,single,D
01,Устройства компьютера,Высокий,9,single,C
01,Устройства компьютера,Высокий,10,single,A
01,Устройства компьютера,Высокий,11,single,A
01,Устройства компьютера,Высокий,12,single,C
01,Устройства компьютера,Высокий,13,single,A
01,Устройства компьютера,Высокий,14,single,B
01,Устройства компьютера,Высокий,15,single,D
01,Устройства компьютера,Высокий,16,single,B
01,Устройства компьютера,Высокий,17,single,A
01,Устройства компьютера,Высокий,18,single,B
01,Устройства компьютера,Высокий,19,single,A
01,Устройства компьютера,Высокий,20,single,D
01,Устройства компьютера,Высокий,21,single,D
01,Устройства компьютера,Высокий,22,single,D
01,Устройства компьютера,Высокий,23,single,D
01,Устройства компьютера,Высокий,24,single,D
01,Устройства компьютера,Высокий,25,single,D
01,Устройства компьютера,Высокий,26,context_single,C
01,Устройства компьютера,Высокий,27,context_single,B
01,Устройства компьютера,Высокий,28,context_single,B
01,Устройства компьютера,Высокий,29,context_single,B
01,Устройства компьютера,Высокий,30,context_single,A
01,Устройства компьютера,Высокий,31,multi,ADE
01,Устройства компьютера,Высокий,32,multi,CDE
01,Устройства компьютера,Высокий,33,multi,ACE
01,Устройства компьютера,Высокий,34,multi,ABE
01,Устройства компьютера,Высокий,35,multi,ABE
01,Устройства компьютера,Высокий,36,matching,1-B;2-A;3-D;4-C
01,Устройства компьютера,Высокий,37,matching,1-B;2-A;3-C;4-D
01,Устройства компьютера,Высокий,38,matching,1-C;2-A;3-D;4-B
01,Устройства компьютера,Высокий,39,matching,1-C;2-A;3-B;4-D
01,Устройства компьютера,Высокий,40,matching,1-B;2-A;3-C;4-D
02,Компьютерные сети. Организация компьютерных сетей,Базовый,1,single,A
02,Компьютерные сети. Организация компьютерных сетей,Базовый,2,single,D
02,Компьютерные сети. Организация компьютерных сетей,Базовый,3,single,D
02,Компьютерные сети. Организация компьютерных сетей,Базовый,4,single,A
02,Компьютерные сети. Организация компьютерных сетей,Базовый,5,single,C
02,Компьютерные сети. Организация компьютерных сетей,Базовый,6,single,A
02,Компьютерные сети. Организация компьютерных сетей,Базовый,7,single,B
02,Компьютерные сети. Организация компьютерных сетей,Базовый,8,single,D
02,Компьютерные сети. Организация компьютерных сетей,Базовый,9,single,A
02,Компьютерные сети. Организация компьютерных сетей,Базовый,10,single,A
02,Компьютерные сети. Организация компьютерных сетей,Базовый,11,single,D
02,Компьютерные сети. Организация компьютерных сетей,Базовый,12,single,D
02,Компьютерные сети. Организация компьютерных сетей,Базовый,13,single,B
02,Компьютерные сети. Организация компьютерных сетей,Базовый,14,single,A
02,Компьютерные сети. Организация компьютерных сетей,Базовый,15,single,C
02,Компьютерные сети. Организация компьютерных сетей,Базовый,16,single,C
02,Компьютерные сети. Организация компьютерных сетей,Базовый,17,single,D
02,Компьютерные сети. Организация компьютерных сетей,Базовый,18,single,B
02,Компьютерные сети. Организация компьютерных сетей,Базовый,19,single,A
02,Компьютерные сети. Организация компьютерных сетей,Базовый,20,single,A
02,Компьютерные сети. Организация компьютерных сетей,Базовый,21,single,B
02,Компьютерные сети. Организация компьютерных сетей,Базовый,22,single,A
02,Компьютерные сети. Организация компьютерных сетей,Базовый,23,single,C
02,Компьютерные сети. Организация компьютерных сетей,Базовый,24,single,D
02,Компьютерные сети. Организация компьютерных сетей,Базовый,25,single,B
02,Компьютерные сети. Организация компьютерных сетей,Базовый,26,context_single,B
02,Компьютерные сети. Организация компьютерных сетей,Базовый,27,context_single,C
02,Компьютерные сети. Организация компьютерных сетей,Базовый,28,context_single,A
02,Компьютерные сети. Организация компьютерных сетей,Базовый,29,context_single,A
02,Компьютерные сети. Организация компьютерных сетей,Базовый,30,context_single,A
02,Компьютерные сети. Организация компьютерных сетей,Базовый,31,multi,ABC
02,Компьютерные сети. Организация компьютерных сетей,Базовый,32,multi,CDE
02,Компьютерные сети. Организация компьютерных сетей,Базовый,33,multi,BCE
02,Компьютерные сети. Организация компьютерных сетей,Базовый,34,multi,ABC
02,Компьютерные сети. Организация компьютерных сетей,Базовый,35,multi,BDE
02,Компьютерные сети. Организация компьютерных сетей,Базовый,36,matching,1-C;2-B;3-D;4-A
02,Компьютерные сети. Организация компьютерных сетей,Базовый,37,matching,1-D;2-C;3-A;4-B
02,Компьютерные сети. Организация компьютерных сетей,Базовый,38,matching,1-B;2-A;3-D;4-C
02,Компьютерные сети. Организация компьютерных сетей,Базовый,39,matching,1-C;2-B;3-A;4-D
02,Компьютерные сети. Организация компьютерных сетей,Базовый,40,matching,1-A;2-B;3-C;4-D
02,Компьютерные сети. Организация компьютерных сетей,Средний,1,single,A
02,Компьютерные сети. Организация компьютерных сетей,Средний,2,single,A
02,Компьютерные сети. Организация компьютерных сетей,Средний,3,single,A
02,Компьютерные сети. Организация компьютерных сетей,Средний,4,single,D
02,Компьютерные сети. Организация компьютерных сетей,Средний,5,single,D
02,Компьютерные сети. Организация компьютерных сетей,Средний,6,single,B
02,Компьютерные сети. Организация компьютерных сетей,Средний,7,single,C
02,Компьютерные сети. Организация компьютерных сетей,Средний,8,single,B
02,Компьютерные сети. Организация компьютерных сетей,Средний,9,single,D
02,Компьютерные сети. Организация компьютерных сетей,Средний,10,single,B
02,Компьютерные сети. Организация компьютерных сетей,Средний,11,single,D
02,Компьютерные сети. Организация компьютерных сетей,Средний,12,single,C
02,Компьютерные сети. Организация компьютерных сетей,Средний,13,single,C
02,Компьютерные сети. Организация компьютерных сетей,Средний,14,single,A
02,Компьютерные сети. Организация компьютерных сетей,Средний,15,single,D
02,Компьютерные сети. Организация компьютерных сетей,Средний,16,single,B
02,Компьютерные сети. Организация компьютерных сетей,Средний,17,single,D
02,Компьютерные сети. Организация компьютерных сетей,Средний,18,single,A
02,Компьютерные сети. Организация компьютерных сетей,Средний,19,single,C
02,Компьютерные сети. Организация компьютерных сетей,Средний,20,single,B
02,Компьютерные сети. Организация компьютерных сетей,Средний,21,single,A
02,Компьютерные сети. Организация компьютерных сетей,Средний,22,single,A
02,Компьютерные сети. Организация компьютерных сетей,Средний,23,single,B
02,Компьютерные сети. Организация компьютерных сетей,Средний,24,single,A
02,Компьютерные сети. Организация компьютерных сетей,Средний,25,single,B
02,Компьютерные сети. Организация компьютерных сетей,Средний,26,context_single,B
02,Компьютерные сети. Организация компьютерных сетей,Средний,27,context_single,A
02,Компьютерные сети. Организация компьютерных сетей,Средний,28,context_single,C
02,Компьютерные сети. Организация компьютерных сетей,Средний,29,context_single,B
02,Компьютерные сети. Организация компьютерных сетей,Средний,30,context_single,D
02,Компьютерные сети. Организация компьютерных сетей,Средний,31,multi,BCE
