file,topic_no,level_code,level_ru,topic_title
t01_b.md,01,b,Базовый,01_Устройства компьютера
t01_h.md,01,h,Высокий,01_Устройства компьютера
t01_m.md,01,m,Средний,01_Устройства компьютера
t02_b.md,02,b,Базовый,02_Компьютерные сети. Организация компьютерных сетей
t02_h.md,02,h,Высокий,02_Компьютерные сети. Организация компьютерных сетей
t02_m.md,02,m,Средний,02_Компьютерные сети. Организация компьютерных сетей
t03_b.md,03,b,Базовый,03_Представление и измерение информации. Кодирование информации
t03_h.md,03,h,Высокий,03_Представление и измерение информации. Кодирование информации
t03_m.md,03,m,Средний,03_Представление и измерение информации. Кодирование информации
t04_b.md,04,b,Базовый,04_Системы счисления
t04_h.md,04,h,Высокий,04_Системы счисления
t04_m.md,04,m,Средний,04_Системы счисления
t05_b.md,05,b,Базовый,05_Логические основы компьютера
t05_h.md,05,h,Высокий,05_Логические основы компьютера
t05_m.md,05,m,Средний,05_Логические основы компьютера
t06_b.md,06,b,Базовый,06_Программирование алгоритмов на языке программирования Python
t06_h.md,06,h,Высокий,06_Программирование алгоритмов на языке программирования Python
t06_m.md,06,m,Средний,06_Программирование алгоритмов на языке программирования Python
t07_b.md,07,b,Базовый,"07_Алгоритмы и программы (Функция, Рекурсия, работа со строками, работа с файлами, сортировка"
t07_h.md,07,h,Высокий,"07_Алгоритмы и программы (Функция, Рекурсия, работа со строками, работа с файлами, сортировка"
t07_m.md,07,m,Средний,"07_Алгоритмы и программы (Функция, Рекурсия, работа со строками, работа с файлами, сортировка"
t08_b.md,08,b,Базовый,08_Аппаратное обеспечение. Программное обеспечение
t08_h.md,08,h,Высокий,08_Аппаратное обеспечение. Программное обеспечение
t08_m.md,08,m,Средний,08_Аппаратное обеспечение. Программное обеспечение
t09_b.md,09,b,Базовый,09_Реляционная база данных
t09_h.md,09,h,Высокий,09_Реляционная база данных
t09_m.md,09,m,Средний,09_Реляционная база данных
t10_b.md,10,b,Базовый,10_Разработка базы данных. Структурированные запросы
t10_h.md,10,h,Высокий,10_Разработка базы данных. Структурированные запросы
t10_m.md,10,m,Средний,10_Разработка базы данных. Структурированные запросы
t11_b.md,11,b,Базовый,11_Современные тенденции развития информационных технологий
t11_h.md,11,h,Высокий,11_Современные тенденции развития информационных технологий
t11_m.md,11,m,Средний,11_Современные тенденции развития информационных технологий
t12_b.md,12,b,Базовый,12_Создание и преобразование информационных объектов
t12_h.md,12,h,Высокий,12_Создание и преобразование информационных объектов
t12_m.md,12,m,Средний,12_Создание и преобразование информационных объектов
t13_b.md,13,b,Базовый,13_Веб-проектирование
t13_h.md,13,h,Высокий,13_Веб-проектирование
t13_m.md,13,m,Средний,13_Веб-проектирование
