topic_code,level_code,question,answer
t01,b,1,A
t01,b,2,A
t01,b,3,A
t01,b,4,A
t01,b,5,A
t01,b,6,A
t01,b,7,A
t01,b,8,A
t01,b,9,A
t01,b,10,A
t01,b,11,A
t01,b,12,A
t01,b,13,A
t01,b,14,A
t01,b,15,A
t01,b,16,A
t01,b,17,A
t01,b,18,A
t01,b,19,A
t01,b,20,A
t01,m,1,A
t01,m,2,A
t01,m,3,A
t01,m,4,A
t01,m,5,A
t01,m,6,A
t01,m,7,A
t01,m,8,A
t01,m,9,A
t01,m,10,A
t01,m,11,A
t01,m,12,A
t01,m,13,A
t01,m,14,A
t01,m,15,A
t01,m,16,A
t01,m,17,A
t01,m,18,A
t01,m,19,A
t01,m,20,A
t01,h,1,A
t01,h,2,A
t01,h,3,A
t01,h,4,A
t01,h,5,A
t01,h,6,A
t01,h,7,A
t01,h,8,A
t01,h,9,A
t01,h,10,A
t01,h,11,A
t01,h,12,A
t01,h,13,A
t01,h,14,A
t01,h,15,A
t01,h,16,A
t01,h,17,A
t01,h,18,A
t01,h,19,A
t01,h,20,A
t02,b,1,A
t02,b,2,A
t02,b,3,A
t02,b,4,A
t02,b,5,A
t02,b,6,A
t02,b,7,A
t02,b,8,A
t02,b,9,A
t02,b,10,A
t02,b,11,A
t02,b,12,A
t02,b,13,A
t02,b,14,A
t02,b,15,A
t02,b,16,A
t02,b,17,A
t02,b,18,A
t02,b,19,A
t02,b,20,A
t02,m,1,A
t02,m,2,A
t02,m,3,A
t02,m,4,A
t02,m,5,A
t02,m,6,A
t02,m,7,A
t02,m,8,A
t02,m,9,A
t02,m,10,A
t02,m,11,A
t02,m,12,A
t02,m,13,A
t02,m,14,A
t02,m,15,A
t02,m,16,A
t02,m,17,A
t02,m,18,A
t02,m,19,A
t02,m,20,A
t02,h,1,A
t02,h,2,A
t02,h,3,A
t02,h,4,A
t02,h,5,A
t02,h,6,A
t02,h,7,A
t02,h,8,A
t02,h,9,A
t02,h,10,A
t02,h,11,A
t02,h,12,A
t02,h,13,A
t02,h,14,A
t02,h,15,A
t02,h,16,A
t02,h,17,A
t02,h,18,A
t02,h,19,A
t02,h,20,A
t03,b,1,A
t03,b,2,A
t03,b,3,A
t03,b,4,A
t03,b,5,A
t03,b,6,A
t03,b,7,A
t03,b,8,A
t03,b,9,A
t03,b,10,A
t03,b,11,A
t03,b,12,A
t03,b,13,A
t03,b,14,A
t03,b,15,A
t03,b,16,A
t03,b,17,A
t03,b,18,A
t03,b,19,A
t03,b,20,A
t03,m,1,A
t03,m,2,A
t03,m,3,A
t03,m,4,A
t03,m,5,A
t03,m,6,A
t03,m,7,A
t03,m,8,A
t03,m,9,A
t03,m,10,A
t03,m,11,A
t03,m,12,A
t03,m,13,A
t03,m,14,A
t03,m,15,A
t03,m,16,A
t03,m,17,A
t03,m,18,A
t03,m,19,A
t03,m,20,A
t03,h,1,A
t03,h,2,A
t03,h,3,A
t03,h,4,A
t03,h,5,A
t03,h,6,A
t03,h,7,A
t03,h,8,A
t03,h,9,A
t03,h,10,A
t03,h,11,A
t03,h,12,A
t03,h,13,A
t03,h,14,A
t03,h,15,A
t03,h,16,A
t03,h,17,A
t03,h,18,A
t03,h,19,A
t03,h,20,A
t04,b,1,A
t04,b,2,A
t04,b,3,A
t04,b,4,A
t04,b,5,A
t04,b,6,A
t04,b,7,A
t04,b,8,A
t04,b,9,A
t04,b,10,A
t04,b,11,A
t04,b,12,A
t04,b,13,A
t04,b,14,A
t04,b,15,A
t04,b,16,A
t04,b,17,A
t04,b,18,A
t04,b,19,A
t04,b,20,A
t04,m,1,A
t04,m,2,A
t04,m,3,A
t04,m,4,A
t04,m,5,A
t04,m,6,A
t04,m,7,A
t04,m,8,A
t04,m,9,A
t04,m,10,A
t04,m,11,A
t04,m,12,A
t04,m,13,A
t04,m,14,A
t04,m,15,A
t04,m,16,A
t04,m,17,A
t04,m,18,A
t04,m,19,A
t04,m,20,A
t04,h,1,A
t04,h,2,A
t04,h,3,A
