file,topic_code,topic,level_code,level
t01_b.md,t01,01 Центральная Азия и мировая цивилизация. жизнь древних людей Казахстана,b,Базовый
t01_m.md,t01,01 Центральная Азия и мировая цивилизация. жизнь древних людей Казахстана,m,Средний
t01_h.md,t01,01 Центральная Азия и мировая цивилизация. жизнь древних людей Казахстана,h,Высокий
t02_b.md,t02,02 Эпоха ранних кочевников Сарматы. Саки. Уйсуни. Кангюй. Гунны,b,Базовый
t02_m.md,t02,02 Эпоха ранних кочевников Сарматы. Саки. Уйсуни. Кангюй. Гунны,m,Средний
t02_h.md,t02,02 Эпоха ранних кочевников Сарматы. Саки. Уйсуни. Кангюй. Гунны,h,Высокий
t03_b.md,t03,03 Казахстан в VI-IX веках. Периодизация средневековой истории Казахстана,b,Базовый
t03_m.md,t03,03 Казахстан в VI-IX веках. Периодизация средневековой истории Казахстана,m,Средний
t03_h.md,t03,03 Казахстан в VI-IX веках. Периодизация средневековой истории Казахстана,h,Высокий
t04_b.md,t04,04 Тюргешский каганат. Карлукский каганат. Атлахская битва,b,Базовый
t04_m.md,t04,04 Тюргешский каганат. Карлукский каганат. Атлахская битва,m,Средний
t04_h.md,t04,04 Тюргешский каганат. Карлукский каганат. Атлахская битва,h,Высокий
t05_b.md,t05,05 Огузское государство. Кимакский каганат,b,Базовый
t05_m.md,t05,05 Огузское государство. Кимакский каганат,m,Средний
t05_h.md,t05,05 Огузское государство. Кимакский каганат,h,Высокий
t06_b.md,t06,06 Казахстан в X – начале XІІІ веков. Государство Караханидов,b,Базовый
t06_m.md,t06,06 Казахстан в X – начале XІІІ веков. Государство Караханидов,m,Средний
t06_h.md,t06,06 Казахстан в X – начале XІІІ веков. Государство Караханидов,h,Высокий
t07_b.md,t07,"07 Найманы, кереиты, жалаиры. Кыпчакское ханство. Понятие «Дешти Кипчак»",b,Базовый
t07_m.md,t07,"07 Найманы, кереиты, жалаиры. Кыпчакское ханство. Понятие «Дешти Кипчак»",m,Средний
t07_h.md,t07,"07 Найманы, кереиты, жалаиры. Кыпчакское ханство. Понятие «Дешти Кипчак»",h,Высокий
t08_b.md,t08,08 Казахстан в XIII веке - первой половине XV века. Завоевательные походы,b,Базовый
t08_m.md,t08,08 Казахстан в XIII веке - первой половине XV века. Завоевательные походы,m,Средний
t08_h.md,t08,08 Казахстан в XIII веке - первой половине XV века. Завоевательные походы,h,Высокий
t09_b.md,t09,09 Военные походы Тимура. Ногайская Орда. Ханство Абулхаира. Общественнополитическое устройство государств в XIII веке - первой половине XV века,b,Базовый
t09_m.md,t09,09 Военные походы Тимура. Ногайская Орда. Ханство Абулхаира. Общественнополитическое устройство государств в XIII веке - первой половине XV века,m,Средний
t09_h.md,t09,09 Военные походы Тимура. Ногайская Орда. Ханство Абулхаира. Общественнополитическое устройство государств в XIII веке - первой половине XV века,h,Высокий
t10_b.md,t10,10 Формирование казахского народа. Казахи – наследники Великой степи,b,Базовый
t10_m.md,t10,10 Формирование казахского народа. Казахи – наследники Великой степи,m,Средний
t10_h.md,t10,10 Формирование казахского народа. Казахи – наследники Великой степи,h,Высокий
t11_b.md,t11,11 Образование единого Казахского государства. Предпосылки образования,b,Базовый
t11_m.md,t11,11 Образование единого Казахского государства. Предпосылки образования,m,Средний
t11_h.md,t11,11 Образование единого Казахского государства. Предпосылки образования,h,Высокий
t12_b.md,t12,12 Развитие Казахского ханства в XVI-XVII веках. Укрепление Казахского,b,Базовый
t12_m.md,t12,12 Развитие Казахского ханства в XVI-XVII веках. Укрепление Казахского,m,Средний
t12_h.md,t12,12 Развитие Казахского ханства в XVI-XVII веках. Укрепление Казахского,h,Высокий
t13_b.md,t13,13 Дальнейшее укрепление и политический подъем Казахского ханства при,b,Базовый
t13_m.md,t13,13 Дальнейшее укрепление и политический подъем Казахского ханства при,m,Средний
t13_h.md,t13,13 Дальнейшее укрепление и политический подъем Казахского ханства при,h,Высокий
t14_b.md,t14,14 Внутренняя и внешняя политика хана Тауекеля,b,Базовый
