file,topic_no,topic,level,question_no,answer
t01_b.md,1,Кинематика,Базовый,1,D
t01_b.md,1,Кинематика,Базовый,2,D
t01_b.md,1,Кинематика,Базовый,3,C
t01_b.md,1,Кинематика,Базовый,4,A
t01_b.md,1,Кинематика,Базовый,5,D
t01_b.md,1,Кинематика,Базовый,6,C
t01_b.md,1,Кинематика,Базовый,7,B
t01_b.md,1,Кинематика,Базовый,8,D
t01_b.md,1,Кинематика,Базовый,9,D
t01_b.md,1,Кинематика,Базовый,10,B
t01_b.md,1,Кинематика,Базовый,11,C
t01_b.md,1,Кинематика,Базовый,12,A
t01_b.md,1,Кинематика,Базовый,13,D
t01_b.md,1,Кинематика,Базовый,14,D
t01_b.md,1,Кинематика,Базовый,15,D
t01_b.md,1,Кинематика,Базовый,16,D
t01_b.md,1,Кинематика,Базовый,17,D
t01_b.md,1,Кинематика,Базовый,18,A
t01_b.md,1,Кинематика,Базовый,19,D
t01_b.md,1,Кинематика,Базовый,20,A
t01_b.md,1,Кинематика,Базовый,21,B
t01_b.md,1,Кинематика,Базовый,22,D
t01_b.md,1,Кинематика,Базовый,23,B
t01_b.md,1,Кинематика,Базовый,24,C
t01_b.md,1,Кинематика,Базовый,25,D
t01_b.md,1,Кинематика,Базовый,26,D
t01_b.md,1,Кинематика,Базовый,27,A
t01_b.md,1,Кинематика,Базовый,28,D
t01_b.md,1,Кинематика,Базовый,29,D
t01_b.md,1,Кинематика,Базовый,30,D
t01_b.md,1,Кинематика,Базовый,31,"A,B,C"
t01_b.md,1,Кинематика,Базовый,32,"A,B,C"
t01_b.md,1,Кинематика,Базовый,33,"A,B,C"
t01_b.md,1,Кинематика,Базовый,34,"A,B"
t01_b.md,1,Кинематика,Базовый,35,"A,B,C"
t01_b.md,1,Кинематика,Базовый,36,1-B; 2-D; 3-A; 4-C
t01_b.md,1,Кинематика,Базовый,37,1-B; 2-D; 3-A; 4-C
t01_b.md,1,Кинематика,Базовый,38,1-B; 2-D; 3-A; 4-C
t01_b.md,1,Кинематика,Базовый,39,1-B; 2-D; 3-A; 4-C
t01_b.md,1,Кинематика,Базовый,40,1-B; 2-D; 3-A; 4-C
t01_m.md,1,Кинематика,Средний,1,D
t01_m.md,1,Кинематика,Средний,2,D
t01_m.md,1,Кинематика,Средний,3,C
t01_m.md,1,Кинематика,Средний,4,A
t01_m.md,1,Кинематика,Средний,5,D
t01_m.md,1,Кинематика,Средний,6,C
t01_m.md,1,Кинематика,Средний,7,B
t01_m.md,1,Кинематика,Средний,8,D
t01_m.md,1,Кинематика,Средний,9,D
t01_m.md,1,Кинематика,Средний,10,B
t01_m.md,1,Кинематика,Средний,11,C
t01_m.md,1,Кинематика,Средний,12,A
t01_m.md,1,Кинематика,Средний,13,D
t01_m.md,1,Кинематика,Средний,14,D
t01_m.md,1,Кинематика,Средний,15,D
t01_m.md,1,Кинематика,Средний,16,D
t01_m.md,1,Кинематика,Средний,17,D
t01_m.md,1,Кинематика,Средний,18,A
t01_m.md,1,Кинематика,Средний,19,D
t01_m.md,1,Кинематика,Средний,20,A
t01_m.md,1,Кинематика,Средний,21,B
t01_m.md,1,Кинематика,Средний,22,D
t01_m.md,1,Кинематика,Средний,23,B
t01_m.md,1,Кинематика,Средний,24,C
t01_m.md,1,Кинематика,Средний,25,D
t01_m.md,1,Кинематика,Средний,26,D
t01_m.md,1,Кинематика,Средний,27,A
t01_m.md,1,Кинематика,Средний,28,D
t01_m.md,1,Кинематика,Средний,29,D
t01_m.md,1,Кинематика,Средний,30,D
t01_m.md,1,Кинематика,Средний,31,"A,B,C"
