file,topic_no,topic,level,question_count
t01_b.md,1,Кинематика,Базовый,40
t01_m.md,1,Кинематика,Средний,40
t01_h.md,1,Кинематика,Высокий,40
t02_b.md,2,Динамика,Базовый,40
t02_m.md,2,Динамика,Средний,40
t02_h.md,2,Динамика,Высокий,40
t03_b.md,3,Статика,Базовый,40
t03_m.md,3,Статика,Средний,40
t03_h.md,3,Статика,Высокий,40
t04_b.md,4,Законы сохранения,Базовый,40
t04_m.md,4,Законы сохранения,Средний,40
t04_h.md,4,Законы сохранения,Высокий,40
t05_b.md,5,Механика жидкостей и газов,Базовый,40
t05_m.md,5,Механика жидкостей и газов,Средний,40
t05_h.md,5,Механика жидкостей и газов,Высокий,40
t06_b.md,6,Основы молекулярно-кинетической теории газов,Базовый,40
t06_m.md,6,Основы молекулярно-кинетической теории газов,Средний,40
t06_h.md,6,Основы молекулярно-кинетической теории газов,Высокий,40
t07_b.md,7,Газовые законы,Базовый,40
t07_m.md,7,Газовые законы,Средний,40
t07_h.md,7,Газовые законы,Высокий,40
t08_b.md,8,Основы термодинамики,Базовый,40
t08_m.md,8,Основы термодинамики,Средний,40
t08_h.md,8,Основы термодинамики,Высокий,40
t09_b.md,9,Жидкие и твердые тела,Базовый,40
t09_m.md,9,Жидкие и твердые тела,Средний,40
t09_h.md,9,Жидкие и твердые тела,Высокий,40
t10_b.md,10,Электростатика,Базовый,40
t10_m.md,10,Электростатика,Средний,40
t10_h.md,10,Электростатика,Высокий,40
t11_b.md,11,Постоянный ток,Базовый,40
t11_m.md,11,Постоянный ток,Средний,40
t11_h.md,11,Постоянный ток,Высокий,40
t12_b.md,12,Электрический ток в различных средах,Базовый,40
t12_m.md,12,Электрический ток в различных средах,Средний,40
t12_h.md,12,Электрический ток в различных средах,Высокий,40
t13_b.md,13,Магнитное поле,Базовый,40
t13_m.md,13,Магнитное поле,Средний,40
t13_h.md,13,Магнитное поле,Высокий,40
t14_b.md,14,Электромагнитная индукция,Базовый,40
t14_m.md,14,Электромагнитная индукция,Средний,40
t14_h.md,14,Электромагнитная индукция,Высокий,40
t15_b.md,15,Механические колебания,Базовый,40
t15_m.md,15,Механические колебания,Средний,40
t15_h.md,15,Механические колебания,Высокий,40
t16_b.md,16,Электромагнитные колебания. Переменный ток,Базовый,40
t16_m.md,16,Электромагнитные колебания. Переменный ток,Средний,40
t16_h.md,16,Электромагнитные колебания. Переменный ток,Высокий,40
t17_b.md,17,Волновое движение,Базовый,40
t17_m.md,17,Волновое движение,Средний,40
t17_h.md,17,Волновое движение,Высокий,40
t18_b.md,18,Электромагнитные волны,Базовый,40
t18_m.md,18,Электромагнитные волны,Средний,40
t18_h.md,18,Электромагнитные волны,Высокий,40
t19_b.md,19,Волновая оптика,Базовый,40
t19_m.md,19,Волновая оптика,Средний,40
t19_h.md,19,Волновая оптика,Высокий,40
t20_b.md,20,Геометрическая оптика,Базовый,40
t20_m.md,20,Геометрическая оптика,Средний,40
t20_h.md,20,Геометрическая оптика,Высокий,40
t21_b.md,21,Элементы теории относительности,Базовый,40
t21_m.md,21,Элементы теории относительности,Средний,40
t21_h.md,21,Элементы теории относительности,Высокий,40
t22_b.md,22,Атомная и квантовая физика,Базовый,40
t22_m.md,22,Атомная и квантовая физика,Средний,40
t22_h.md,22,Атомная и квантовая физика,Высокий,40
t23_b.md,23,Физика атомного ядра,Базовый,40
t23_m.md,23,Физика атомного ядра,Средний,40
t23_h.md,23,Физика атомного ядра,Высокий,40
t24_b.md,24,Нанотехнология и наноматериалы,Базовый,40
t24_m.md,24,Нанотехнология и наноматериалы,Средний,40
t24_h.md,24,Нанотехнология и наноматериалы,Высокий,40
t25_b.md,25,Космология,Базовый,40
t25_m.md,25,Космология,Средний,40
t25_h.md,25,Космология,Высокий,40
